Date,Description,Amount,Type,Category
2025-01-05,Salary Payment,1500.00,Income,Salary
2025-01-08,Rent Payment,-500.00,Expense,Housing
2025-01-10,Supermarket Purchase,-120.50,Expense,Groceries
2025-01-15,Electricity Bill,-60.00,Expense,Utilities
2025-01-20,Freelance Project,250.00,Income,Freelance
2025-01-25,Internet Subscription,-50.00,Expense,Utilities
2025-02-03,Salary Payment,1500.00,Income,Salary
2025-02-05,Rent Payment,8000.00,Expense,Housing
2025-02-09,Restaurant Dinner,-80.00,Expense,Entertainment
2025-02-15,Water Bill,-40.00,Expense,Utilities
2025-02-20,Freelance Project,300.00,Income,Freelance
2025-02-25,Clothing Purchase,-100.00,Expense,Shopping
